id,gender,age,visual_vividness,view_duration,lights,computer,emotion,hallucination_categorical,hallucination_description,emerge_time,hallucination_frequency,hallucination_intensity,hallucination_duration,consciousness_change,consciousness_description,hallucination_location,percent_missing,auditory_strength,gustatory_strength,haptic_strength,interoceptive_strength,olfactory_strength,visual_strength,foot_strength,hand_strength,head_strength,mouth_strength,torso_strength,perceptual_strength,action_strength,sensorimotor_strength,visual_vividness_z,description_length,visual_vividness_cat,visual_vividness_cat_reordered,visual_vividness_cat_reordered_codes,visual_vividness_cat_codes,visual_vividness_bicat
1,Female,21,3,Less than 10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['alien', 'bust', 'skull', 'butterfly']",A few seconds,Constantly,"Weak, faint, or insubstantial, Clear, but not vivid","1-2 seconds, Constant, morphing from one image to the next","As if in a dreamlike state, Lost a sense of space",feel be sucked towards screen center,In the center,0.0,0.75155336275,0.127010234,1.52887426875,0.7181103799999999,0.149122807,3.61869517525,0.48771929825,1.16147660825,2.5284356724999997,0.65102339175,0.69078947375,3.61869517525,2.68121345025,3.810361842,-0.6626968069948487,4,aphantasia,aphantasia,1,0,aphantasia
2,Male,,3,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['blach', 'rectangular', 'shape', 'flashing']",1-2 minutes,Frequently,"Clear, but not vivid",Brief moment or flash,Became relaxed or sleepy,,All over the screen,25.0,0.298669468,0.080882353,1.971743697333333,0.3598389353333333,0.0,4.3442226889999995,0.5026455023333334,2.074074074,2.468253968333333,0.4100529099999999,0.6878306876666667,4.3442226889999995,2.579365079333334,4.3442226889999995,-0.6626968069948487,4,aphantasia,aphantasia,1,0,aphantasia
3,Male,26,8,10min.,No,Computer,"Somewhat enjoyable, but easy to stop","Complex objects (e.g., animals, faces, buildings)","['corridor', 'bright', 'window']",1-2 minutes,Frequently,"Clear, vivid, and/or bright","Constant, morphing from one image to the next","As if in a dreamlike state, Felt transported to another place",,In the center,0.0,0.6666666663333333,0.0392156863333333,1.411764705666667,0.274509804,0.2156862743333333,4.509803921666666,1.1714285713333334,1.6365079366666666,3.1150793649999997,0.5412698413333333,0.6976190476666666,4.509803921666666,3.321428571333333,4.509803921666666,0.9272073166352024,3,typical_imagery,typical_imagery,0,2,typical_imagery
4,Female,42,0,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['different', 'vague', 'pattern', 'pulsing', 'image', 'shifted', 'mostly', 'yellow', 'mostly', 'black']",1-2 minutes,"I saw patterns consistently, but no images",,,Became relaxed or sleepy,I felt sleepy and vaguely nauseous,,20.0,1.3747718783750005,0.29598506075,0.6863116458749999,0.7121583481249999,0.3370681605,3.404952890125,0.5024187305000001,0.89123452,2.5639125386250003,0.934829721375,0.615499225875,3.5299528901249997,2.5639125386250003,3.5698135712499997,-1.6166392811728794,10,aphantasia,aphantasia,1,0,aphantasia
5,Male,,8,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['geometric', 'pattern', 'seen', 'fft', 'output', 'given', 'luminance', 'modulation', 'input', 'emphasizing', 'vertical', 'horizontal', 'orientation']",1-2 minutes,Frequently,Clear and moderately vivid,1-2 seconds,"No change, fully alert in the here and now",,In the center,15.384615384615383,1.0732245052727274,0.1724149387272727,0.936032148,0.7977432999090909,0.2006559400909091,3.2953314099090907,0.8390205124545453,1.5065981016363637,2.858513094181818,0.9651511801818184,0.8297567670909092,3.3256344402727276,2.9049929300909096,3.4651546422727275,0.9272073166352024,13,typical_imagery,typical_imagery,0,2,typical_imagery
6,Female,42,8,Less than 10min.,Yes,Ipad,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['flash', 'laser', 'like', 'line', 'yellow', 'light', 'little', 'green']",A few seconds,Frequently,"Clear, vivid, and/or bright",Brief moment or flash,As if in a dreamlike state,"Spaced out, distracted",All over the screen,0.0,0.870889233,0.27134595075,0.7603838026249999,0.7044455501250001,0.293650486625,4.082792152,0.5644543345,0.957101393125,2.817608359125,0.704934210625,0.51828560375,4.24350643775,2.817608359125,4.324333505375,0.9272073166352024,8,typical_imagery,typical_imagery,0,2,typical_imagery
7,Male,19,9,Less than 10min.,No,Mobile phone,"Somewhat unpleasant, but didn't mind going on","Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['rain', 'poured', 'marble', 'brick', 'outside', 'house', 'house', 'rain', 'happened', 'rain', 'heavy', 'house', 'live', 'old', 'traditional']",A few seconds,Frequently,"Clear and moderately vivid, Clear, vivid, and/or bright",1-2 seconds,"Became relaxed or sleepy, As if in a dreamlike state, Felt transported to another place",,In the center,13.333333333333334,1.8753549082307697,0.573713128923077,2.4763186374615382,0.968115218076923,1.221989195076923,4.014157553,1.9822058746153848,2.450766261769231,3.008579810307693,1.2599760920769232,1.7399116363846152,4.105503706846154,3.2573652354615388,4.207678505769231,1.2451881413612125,15,typical_imagery,typical_imagery,0,2,typical_imagery
9,Female,36,6,10min.,No,Mobile phone,"Somewhat enjoyable, but easy to stop","Complex objects (e.g., animals, faces, buildings)","['move', 'right', 'also', 'would', 'look', 'green']",1-2 minutes,Frequently,"Clear, but not vivid, Clear and moderately vivid",Persisting several seconds,"As if in a dreamlike state, Lost a sense of time",,In the center,0.0,0.9192681458333332,0.1212231968333333,0.5862501433333333,1.0732929138333334,0.0916179336666666,2.801169590666666,1.1960526315,1.3385964911666666,3.0026315790000004,1.1837719298333331,1.0315789473333334,2.8501891984999994,3.2293859648333334,3.488888888833334,0.2912456671831819,6,typical_imagery,typical_imagery,0,2,typical_imagery
10,Female,55,2,Longer than 10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, letters, words in different scripts","['moving', 'geometric', 'pattern', 'color', 'building', 'many', 'word', 'letter', 'bare', 'significance']",,,"Weak, faint, or insubstantial","1-2 seconds, Constant, morphing from one image to the next","No change, fully alert in the here and now",,"In the center, All over the screen",10.0,1.5509334337777778,0.1609054635555555,1.6105268618888888,0.7473117025555555,0.1929809545555555,3.748732875222222,1.195051149666667,2.0100052415555556,3.0351420217777783,1.2857033578888888,1.0766534706666666,3.8069339334444448,3.3258088036666664,4.007631211,-0.9806776317208588,10,aphantasia,aphantasia,1,0,aphantasia
11,Male,16,2,10min.,Yes,Computer,No feeling about it one way or the other,just two diffrent people and the rest was just shapes,"['one', 'people', 'hood', 'darkness', 'covering', 'face', 'person', 'male', 'extra', 'short', 'haircut', 'face', 'blurry', 'haunting']",1-2 minutes,Frequently,"Weak, faint, or insubstantial","Constant, morphing from one image to the next","No change, fully alert in the here and now",,In the periphery,7.142857142857142,1.305342425846154,0.3358219394615384,1.9015938226153848,0.8419491713846152,0.592773635076923,4.262125035307692,0.8131539256153846,1.5733171541538462,3.4142038731538458,1.5919950706153847,1.0126254550769231,4.262125035307692,3.461630131076923,4.263790036923077,-0.9806776317208588,14,aphantasia,aphantasia,1,0,aphantasia
